text,condition,probability,symptoms_present
I have headache,Common Cold,0.6,[1]
I have a runny nose,Common Cold,0.95,[5]
I have cough and sore throat,Common Cold,0.85,[3;4]
feeling tired with runny nose,Common Cold,0.8,[6;5]
stuffy nose and cough for 3 days,Common Cold,0.9,[5;3]
I have fever and muscle aches,Influenza (Flu),0.85,[2;15]
high temperature with fatigue,Influenza (Flu),0.8,[2;6]
fever cough and feeling exhausted,Influenza (Flu),0.9,[2;3;6]
muscle pain and headache with fever,Influenza (Flu),0.88,[15;1;2]
severe headache with nausea,Migraine Headache,0.9,[1;7]
worst headache of my life,Migraine Headache,0.95,[1]
headache and feel dizzy,Migraine Headache,0.8,[1;14]
throbbing head pain and nauseous,Migraine Headache,0.92,[1;7]
stomach pain and nausea,Gastritis,0.85,[10;7]
abdominal pain with loss of appetite,Gastritis,0.8,[10;18]
belly ache and not hungry,Gastritis,0.75,[10;18]
vomiting and diarrhea,Food Poisoning,0.9,[8;9]
stomach pain with vomiting,Food Poisoning,0.85,[10;8]
nausea vomiting and loose stools,Food Poisoning,0.95,[7;8;9]
mild headache and muscle aches,Tension Headache,0.8,[1;15]
head pain and back pain,Tension Headache,0.75,[1;11]
feeling anxious and cant sleep,Anxiety Disorder,0.9,[20;19]
worried and difficulty sleeping,Anxiety Disorder,0.85,[20;19]
nervous and tired,Anxiety Disorder,0.7,[20;6]
skin rash and runny nose,Allergic Reaction,0.8,[17;5]
itchy skin and cough,Allergic Reaction,0.75,[17;3]